 ,,,,,,,,,,Phys-Chem,,,,,,,Caco2 Ellinger,,,,Vero-E6 Zaliani ,,,,Vero-E6 Touret,HRCE Heiser,3CLPro Kuzikov,,Vero-E6 Riva,Bakowski,,,,SARS-CoV Pseudotyped particle entry Vero E6 - NCATS and PubChem (AID:1479145),,,,,SARS-CoV Pseudotyped particle entry Vero E6 (Tox counterscreen)- NCATS and PubChem (AID:1479150),,,,,,MERS Pseudotyped particle entry Huh7 - NCATS and PubChem (AID:1479149),,,,,MERS Pseudotyped particle entry Huh7 (Tox counterscreen) - NCATS and PubChem (AID:1479147),,,,,,"SARS-CoV-2 cytopathic effect (CPE) - NCATS, PubChem (AID:1508606) and Chen",,,,,,,"SARS-CoV-2 cytopathic effect (CPE)(Tox counterscreen) - NCATS, PubChem (AID:1508605) and Chen",,,,,,,,Activity ranks,PK/PD,,,,,,,Red Flags,,,,,,
Etoricoxib,NSAIDs,Arachidonic acid metabolism,PTGS2,cyclooxygenase inhibitor,,,6.1,pIC50,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,358.85,4.17592,4,0,3,59.92,0,12.43,,,,0.32,,,,0.1588,0.06952,22.4,,,,,,,0.7079457844,-52.54959883,0.7079,40.5712,Inconclusive,0,1.937852938,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,2.121620134,0,0,Inactive,Inactive,0,-1.052400261,,,,,,0,-20.24740092,,,,,,,0.4416904553,Oral,,92%,1.50 L/kg,0.79 mL/min/kg,26 hours,99 %,NA,NA,Category C,Not recommended,NA,,
Moclobemide,Antidepressant,"Serotonergic synapse, Dopaminergic synapse, Tryptophan metabolism, Phenylalanine metabolism, Tyrosine metabolism","MAOA, MAOB",monoamine oxidase inhibitor,,,,,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,268.744,1.402,3,1,4,41.57,0,-1.36,,,,0.01,,,,0.3217,0.1695,13.94,,,,,,,0,-75.97169548,0,0,Inactive,0,10.38585445,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0.9273651984,0,0,Inactive,Inactive,0,-1.360573233,,,,,,0,-17.76346825,,,,,,,0.4775369276,Oral,,"Approximately 50% (primarily to albumin) [L1350]
",1.10 L/kg,10 mL/min/kg,1.50 hours,75 %,NA,NA,Category B3,Use with caution ,None,,
Safinamide,Antiparkinsonian,"Serotonergic synapse, Dopaminergic synapse",MAOB,"dopamine reuptake inhibitor, glutamate inhibitor, monoamine oxidase inhibitor",,,,,C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O,302.349,2.3681,3,2,7,64.35,1,,,,,0.16,,,,0.3615,0.04637,12.51,,,,,,,0,0,0,0,Inactive,0,-44.11683162,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,-7.405527314,0,0,Inactive,Inactive,0,-5.142339843,,,,,,0,-6.931474965,,,,,,,0.4884323461,Oral,,88–90%,2.19 L/kg,1.17 mL/min/kg,21.67 hours,0.95,Amitriptyline; amoxapine; amphetamine polistirex; clomipramine; cyclobenzaprine; cyproheptadine; desipramine; desvenlafaxine; deutetrabenazine; dexmethylphenidate; dextroamphetamine; dextromethorphan; diethylpropion; doxepin; duloxetine; fentanyl; fentanyl intranasal; fentanyl transdermal; fentanyl transmucosal; imipramine; isocarboxazid; levomilnacipran; linezolid; lisdexamfetamine; maprotiline; meperidine; methadone; methamphetamine; methylphenidate; milnacipran; morphine; nefazodone; nortriptyline; ozanimod; phendimetrazine; phenelzine; protriptyline; rasagiline; selegiline; selegiline transdermal; solriamfetol; St John's Wort; tapentadol; tramadol; tranylcypromine; trazodone; trimipramine; venlafaxine,"Swelling of lungs, oral mucosa; heoatic impairment",Category B3,Not recommended,NA,,
Tasimelteon,Hypnotic,"Neuroactive ligand-receptor interaction, Circadian entrainment","MTNR1A, MTNR1B",melatonin receptor agonist,,,9.8,pKi,CCC(=O)NC[C@@H]1C[C@H]1c1cccc2c1CCO2,245.322,2.2512,2,1,4,38.33,2,28.66,,,,-0.2,,,,,0.1536,7.34,,,,,,,0,-20.26376557,0,0,Inactive,0,-26.63688273,0,0,Inactive,Inactive,0,-74.42759341,0,0,Inactive,0,-8.454367117,0,0,Inactive,Inactive,0,-3.831770284,,,,,,0,-8.482150736,,,,,,,0.4944796058,Oral,,"At therapeutic concentrations, tasimelteon is about 90% bound to proteins.",0.33 L/kg,9.04 mL/min/kg,0.75 hours,,None,None,NA,Not recommended,None,,
Voxelotor,Anti-anemic,NA,,hemoglobin modulator,,,5.09,pEC50,CC(C)n1nccc1-c1ncccc1COc1cccc(O)c1C=O,337.379,3.6231,6,1,6,77.24,0,4.85,,,,-0.09,,,,,0.1638,16.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5085750185,Oral,,"The protein binding of voxeletor is 99.8%, according to in vitro studies.[L10397]",The apparent volume of distribution of voxelotor in the central compartment is 338L and 72.2L in the plasma.[L10397],The apparent oral clearance of voxelotor is approximately 6.7 L/h.[L10397],"The plasma elimination half-life of voxelotor in sickle cell disease patients is about 35.5 hours, according to the FDA label.[L10397] The mean half-life in the red blood cell is 60 days. The average plasma half-life of voxelotor was 50 hours in patients with sickle cell disease, compared with 61–85 hours in healthy patients, in one clinical study.[A188126]",,lonafarnib,Hypersensitivity,NA,Not recommended,NA,,
Istradefylline,Antiparkinsonian,Neuroactive ligand-receptor interaction,"ADORA1, ADORA2A, ADORA2B, ADORA3",adenosine receptor antagonist,,,,,CCn1c(=O)c2c(nc(/C=C/c3ccc(OC)c(OC)c3)n2C)n(CC)c1=O,384.436,2.1241,8,0,6,80.28,0,-0.25,,,,0.09,,,,,0.1372,5.647,,,,,,,0.7079457844,-73.33593341,0.7079,49.827,Inconclusive,0,-2.996001756,0,0,Inactive,Inactive,0,1.789245937,0,0,Inactive,0,-1.832820499,0,0,Inactive,Inactive,0,5.210021728,,,,,,0,-18.97251207,,,,,,,0.5118960284,Oral,"181.1ng/mL 
M1, the primary active metabolite- 4.34ng/mL
The M8 metabolite- 12.6ng/mL ","Istradefylline is approximately 98% protein bound in plasma,[A184064] mostly to serum albumin and alpha-1-acid glycoprotein.[L8225]",The apparent volume of distribution of istradefylline is 448-557L.[A184064],The apparent clearance of istradefylline is 4.1-6.0L/h.[A184064],"The terminal elimination half life of istradefylline was 64-69 hours.[A184064,A184067]",,None,None,NA,Use with caution,NA,,
Amifampridine,Autoimmune disease treatment,NA,,potassium channel blocker,,,,,Nc1ccncc1N,109.132,0.246,3,2,0,64.93,0,5.4,,,,-0.16,,,,,0.1603,35.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5496197449,Oral,16 to 137 ng/mL,There is no human data on serum protein binding of amifampridine [A33863].,"In rats, orally-administered amifampridine was extensively absorbed in the gastrointestinal tract and widely distributed. Drug concentrations were highest in organs of excretion, including liver, kidney and the gastrointestinal tract, and some tissues of glandular function, such as lacrimal, salivary, mucous, pituitary and thyroid glands [F272]. Concentrations in tissues are generally similar to or greater than concentrations in plasma [F272].",it is mostly cleared from the plasma via metabolism by N-acetylation [F272].|Overall clearance of amifampridine is both metabolic and renal,The plasma elimination half-life is approximately 2.5 hours for amifampridine and 4 hours for 3-N-acetylamifampridine [F272].,93-100%,None,Hypersensitivity; seizures,Category C,Use with caution,NA,,
Revefenacin,Antiasthmatic,"Neuroactive ligand-receptor interaction, Cholinergic synapse",,cholinergic receptor antagonist,,,9.75,pKi,CN(CCN1CCC(OC(=O)Nc2ccccc2-c2ccccc2)CC1)C(=O)c1ccc(CN2CCC(C(N)=O)CC2)cc1,597.76,4.836,6,2,10,108.21,0,,,,,0,,,,,,7.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55014236,Inhalation,0.02-0.15 ng/ml,The protein binding of revefenacin and its active metabolite is of 71% and 42% respectively.[FDA label],"After intravenous administration of revefenacin, the reported volume of distribution is 218 L which suggests an extensive distribution to the tissues.[FDA label]","The renal clearance of revefenacin is negligible and thus, the clearance rate is not a major parameter for this drug.",The apparent terminal half-life of a dose of 350 mcg of revefenacin was 22.3-70 hours.[A40025],,None,Hypersensitivity,NA,Use with caution,NA,,
Tezacaftor,CFTR modulator,ABC transporters,,CFTR channel agonist,,,,,CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c(F)cc2n1C[C@@H](O)CO,520.504,3.3953,7,4,8,113.18,1,-1.16,,,,-0.07,,,,,0.1873,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6.212447154,,,,,,0,-8.555862058,,,,,,,0.5556265701,Oral,5.95 mcg/ml (when administered with tezacaftor),"Tezacaftor is approximately 99% bound to plasma proteins, mainly albumin.[L6814]",The apparent volume of distribution of tezacaftor was 271 L in a study of patients in the fed state who received 100 mg of tezacaftor every 12 hours.[L6814],The apparent clearance of tezacaftor has been measured at 1.31 L/h for patients in the fed state during a clinical trial.[A32094],"The apparent half-life of tezacaftor is approximately 57.2 hours.[A179665,L6829]",,lonafarnib,None,Category B3,Use with caution,NA,,
Lemborexant,Hypnotic,Neuroactive ligand-receptor interaction,"HCRTR1, HCRTR2",orexin receptor antagonist,,,8.52,pKi,Cc1ncc(OC[C@@]2(c3cccc(F)c3)C[C@H]2C(=O)Nc2ccc(F)cn2)c(C)n1,410.424,3.74204,5,1,6,77,2,15.02,,,,-0.18,,,,,,24.6,,,,,,,0,0,,,,0,-14.16892565,,,,,,,,,,,,,,,,0,-10.77543886,,,,,,0,-9.194696294,,,,,,,0.5650737637,Oral,,"Lemborexant is approximately 94% protein-bound _in vitro_, though the specific proteins to which it binds in plasma have not been elucidated.[L10863]","The volume of distribution of lemborexant is 1970 L, indicating extensive tissue distribution.[L10863]",,"The half-life for lemborexant at doses of 5mg and 10mg is 17 and 19 hours, respectively.[L10863]",,None,Narcolepsy,Category B3,Not recommended,None,,
Riluzole,Nerve cells protectant,"Neuroactive ligand-receptor interaction, Glutamatergic synapse, Dopaminergic synapse","KCNK10, KCNK2, KCNK4, KCNN4, SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A, SLC7A11",glutamate inhibitor,,,,,Nc1nc2ccc(OC(F)(F)F)cc2s1,234.202,2.7771,4,1,1,48.14,0,4.91,,,,-0.15,,,,,0.1438,7.161,,,,,,,0,13.72442103,0,0,Inactive,8.912509381,-51.37292463,0,0,Inactive,Inactive,0,-19.04576936,0,0,Inactive,0,-130.1703106,0,0,Inactive,Inactive,0,-3.60044197,,,,,,0,0.9635580679,,,,,,,0.5754420286,Oral,,"96% bound to plasma proteins, mainly to albumin and lipoprotein over the clinical concentration range.",3.50 L/kg,11.30 mL/min/kg,The mean elimination half-life of riluzole is 12 hours (CV=35%) after repeated doses.,64 %,None,Hypersensitivity,Category B3,Not recommended,NA,,
Tamsulosin,Antidysuria,"cGMP-PKG signaling pathway, Neuroactive ligand-receptor interaction, Vascular smooth muscle contraction","ADRA1A, ADRA1B, ADRA1D",adrenergic receptor antagonist,,,,,CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1,408.52,2.3409,6,2,11,99.88,1,,,,,-0.07,,,,,0.1193,22.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6298348541,Oral,"3.1-5.3ng/mL (0.4mg oral dose) 
2.5-3.6ng/mL (0.8mg oral dose)","Tamsulosin is 94%-99% protein bound, mostly to alpha-1-acid glycoprotein.[Label]",0.21 L/kg,0.62 mL/min/kg,6.80 hours,99 %,Ombitasvir/paritaprevir/ritonavir & dasabuvir,Hypersensitivity,Category B2,NA,NA,,
Relugolix,"Antineoplastic, Anti-endometriosis","Neuroactive ligand-receptor interaction, GnRH signaling pathway",,gonadotropin releasing factor hormone receptor antagonist,,,,,CONC(=O)Nc1ccc(-c2sc3c(c2CN(C)C)c(=O)n(-c2ccc(OC)nn2)c(=O)n3Cc2c(F)cccc2F)cc1,623.642,3.7505,11,2,9,132.61,0,,,,,-0.04,,,,,,3.22,,,,,,,0,-5.77358573,,,,0,-37.80712732,,,,,,,,,,,,,,,,0,12.98535768,,,,,,0,-3.768845717,,,,,,,0.6363492566,Oral,70 (± 65) ng/mL,"Relugolix is 68-71% protein-bound in plasma, primarily to albumin and, to a lesser extent, α1-acid glycoprotein.[L27991]",,The average renal clearance of relugolix is 8 L/h with a total clearance of 26.4 L/h.[L27991],"The average effective half-life of relugolix is 25 hours, while the average terminal elimination half-life is 60.8 hours.[L27991]",0.12,None,None,NA,No sufficient information is available,NA,,
Paritaprevir,Antiviral,Protein biosynthesis,,HCV inhibitor,,,,,Cc1cnc(C(=O)N[C@H]2CCCCC/C=C\[C@@H]3C[C@@]3(C(=O)NS(=O)(=O)C3CC3)NC(=O)[C@@H]3C[C@@H](Oc4nc5ccccc5c5ccccc45)CN3C2=O)cn1,765.893,3.63692,10,3,7,189.65,5,0.28,,,,-0.17,,,,,0.151,14.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-5.94618196,,,,,,0,-18.50535767,,,,,,,0.6399809719,Oral,194 ng/mL ,97 to 98.6% bound to human plasma proteins [FDA Label].,1.37 L/kg,5.74 mL/min/kg,8.71 hours,,NA,NA,NA,Not recommended,NA,,
Venetoclax,Antineoplastic,Apoptosis,BCL2,BCL inhibitor,,,11,pKi,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,868.457,8.6599,11,3,13,172.03,0,,,,,-0.29,,,,,0.1129,21.72,,,,,,,0,-15.92084643,,,,0,6.775515142,,,,,,,,,,,,,,,,0,12.36723935,,,,,,2.238721139,-111.5573818,,,,,,,0.7787486947,Oral,2.1 ± 1.1 μg/mL,Venetoclax is highly bound to human plasma protein with unbound fraction in plasma <0.01 across a concentration range of 1-30 µM (0.87-26 µg/mL). The mean blood-to-plasma ratio was 0.57 [FDA label].,The population estimate for apparent volume of distribution (Vdss/F) of venetoclax ranged from 256-321 L [FDA label].,Mainly hepatic [FDA label].,"The half-life of venetoclax is reported to be 19-26 hours, after administration of a single 50-mg dose [A40022], [FDA label].",,"Atazanavir
Clarithromycin
Cobicistat
Conivaptan
Darunavir
Fosamprenavir
Grapefruit
Idelalisib
Imatinib
Indinavir
Isoniazid
Itraconazole
Ketoconazole
Lopinavir
Nefazodone
Nelfinavir
Nicardipine
Posaconazole
Ritonavir
Saquinavir
Tipranavir
Voriconazole
",Strong CYP3A inhibitors at initiation and during ramp-up phase,Category C,Not recommended,None,,
Osilodrostat,Antihypertensive,"Steroid hormone biosynthesis, Aldosterone synthesis and secretion",,cytochrome P450 inhibitor,,,8.6,pIC50,N#Cc1ccc([C@H]2CCc3cncn32)c(F)c1,227.242,2.42948,3,0,1,41.61,1,,,,,-0.11,,,,,,-5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7825055362,Oral,,"Both osilodrostat and its M34.5 metabolite are minimally protein-bound in plasma at less than 40%.[L12123,L12132] The extent of protein-binding is independent of drug concentration.[L12132] The specific plasma proteins to which osilodrostat binds have not been elucidated.",The median apparent volume of distribution of osilodrostat is 100 L.[L12123],Data regarding the oral clearance of osilodrostat are not currently available.,"The elimination half-life of osilodrostat is approximately 4 hours.[L12123,A191850]",,Lefamulin,None,NA,Not recommended,NA,,
Uridine triacetate,"Antidote (5-fluorouracil, capecitabine)",NA,,,,,,,CC(=O)OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O,370.314,-1.1395,10,1,5,142.99,4,-22.84,,,,-0.02,,,,,0.05866,6.896,,,,,,,0,-151.4011888,0,0,Inactive,0,-6.166535387,0,0,Inactive,Inactive,0,-23.31442524,0,0,Inactive,0,-0.1943550294,0,0,Inactive,Inactive,0,2.009423624,,,,,,0,-40.73074348,,,,,,,0.7875121617,Oral,,,"Circulating uridine is taken up into mammalian cells via specific nucleoside transporters, and also crosses the blood brain barrier.",,2 to 2.5 hours,,NA,NA,NA,Use with caution,NA,,
Epinastine,Antiallergic,"Neuroactive ligand-receptor interaction, Inflammatory mediator regulation of TRP channels",HRH1,histamine receptor antagonist,,,,,NC1=NCC2c3ccccc3Cc3ccccc3N12,249.317,2.4668,3,1,0,41.62,1,-3.27,,,,-0.08,,,,,-0.03911,-4.851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8145038482,Oral; Ophthalmic,,64%,,* 56 L/hr [patients with allergic conjunctivitis receiving one drop of ELESTAT® ophthalmic solution in each eye twice daily for seven days],12 hours,0.4,NA,Hypersensitivity; contact lens related irritation,Category C,Use with caution,NA,,
Varenicline,Smoking cessation adjunct,"Neuroactive ligand-receptor interaction, Cholinergic synapse","CHRNA3, CHRNA4, CHRNA6, CHRNA7",acetylcholine receptor agonist,,,,,c1cnc2cc3c(cc2n1)C1CNCC3C1,211.268,1.8039,3,1,0,37.81,2,,,,,-0.17,,,,,,22.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8751977222,Oral,,Less than 20%.,,,The elimination half-life of varenicline is approximately 24 hours,87 %,None,Hypersensitivity,Category B3,Not recommended,NA,,
RANOLAZINE,Vasodilator,NA,"SCN10A, SCN9A",sodium channel blocker,,,,,COc1ccccc1OCC(O)CN1CCN(CC1)CC(=O)Nc1c(C)cccc1C,427.545,2.30804,6,2,9,74.27,1,,,,,,,,,1.095,0.1142,,,,,,,,39.81071706,-8.402266838,39.8107,43.5234,Inconclusive,0,2.646338673,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,-1.24390448,,,,,,0,-28.54426624,,,,,,,0.3107606771,Oral,2600 ng/mL,Approximately 62% of the administered dose of ranolazine is bound to plasma proteins. Ranolazine appears to have a higher binding affinity for alpha-1 acid glycoprotein,1.20 L/kg,9.50 mL/min/kg,1.80 hours,42.50 %,"Ceritinib
Cobicistat
Darunavir
Efavirenz
Eliglustat
Itraconazole
Ketoconazole
Lefamulin
Ribociclib
","Hepatic cirrhosis, including Child-Pugh class A (mild), B (moderate), and C (severe)",Category C,Not recommended,None,,
DOMPERIDONE,"Anti-emetic, Prokinetic","Neuroactive ligand-receptor interaction, Dopaminergic synapse","DRD2, DRD3",dopamine receptor antagonist,,,,,Clc1ccc2c(c1)[nH]c(=O)n2C1CCN(CCCn2c(=O)[nH]c3ccccc23)CC1,425.92,3.3532,5,2,5,78.82,0,4.8,,,,-0.11,,,,0.39,0.1608,7.05,,,,,,,11.22018454,-39.77118128,11.2202,59.4962,Inconclusive,0,-6.119265208,0,0,Inactive,Inactive,39.81071706,-14.0227329,39.8107,48.0964,Inconclusive,39.81071706,-9.588627326,39.8107,31.8879,Inconclusive,Cytotoxic,0,16.13006403,,,,,,0,-32.77258697,,,,,,,0.4729268022,Oral; parenteral,,91%-93%,3.40 L/kg,9.50 mL/min/kg,7.50 hours,15 %,NA,NA,Category B2,Not recommended,NA,,
PILOCARPINE NITRATE,Miotic,"Neuroactive ligand-receptor interaction, Cholinergic synapse, Salivary secretion","CHRM1, CHRM2, CHRM3, CHRM4, CHRM5",acetylcholine receptor agonist,,,6.97,pEC50,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,271.273,0.8141,6,1,3,107.49,2,,,,,,,,,,0.1136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5852557673,Oral; Ophthalmic,,,,,0.76 hours,,None,"Uncontrolled asthma, anterior eye inflammation, any time miosis in undesirable",Category B3,Use with caution,None,,
TRIMETHOBENZAMIDE HYDROCHLORIDE,Anti-emetic,NA,DRD2,histamine receptor antagonist,,,,,COc1cc(cc(OC)c1OC)C(=O)NCc1ccc(OCCN(C)C)cc1,424.925,3.0046,6,1,10,69.26,0,,,,,,,,,,0.1981,,,,,,,,0,-3.977884476,0,0,Inactive,0,3.390053047,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,2.168830665,0,0,Inactive,Inactive,0,11.68802218,,,,,,0,-31.32842639,,,,,,,0.2437311936,Oral; Parenteral,,,,,The mean elimination half-life of trimethobenzamide is 7 to 9 hours.,80 %,None,Hypersensitivity,NA,Not recommended,NA,,
BENZOIC ACID,"Antifungal, Antiseptic",NA,"DAO, HRSP12, PRDX5, RAB9A",food preservative,,,,,OC(=O)c1ccccc1,122.123,1.3848,1,1,1,37.3,0,33.07,,,,-0.19,,,,,,7.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5234500291,Oral; Topical,,,,,,,NA,NA,NA,NA,NA,,
UREA,"Diuretic, Emollient, Keratolytic",NA,"ARG1, CA2, CTNNB1","hydroxy radical formation stimulant
",,,,,NC(=O)N,60.056,-0.9762,1,2,0,69.11,0,19.36,,,,-0.03,,,,,0.04168,18.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5533634605,?,,,,,,,None,Hypersensitivity; Viral skin disease,NA,NA,NA,,
MICONAZOLE NITRATE,Antifungal,Steroid biosynthesis,"TRPM2, TRPV5",bacterial cell wall synthesis inhibitor,,,,,Clc1ccc(COC(Cn2cncc2)c2ccc(Cl)cc2Cl)c(Cl)c1,479.147,6.1071,5,1,6,90.42,1,,,,,-0.27,,,,-0.1193,0.003347,14.26,,,,,,,31.6227766,-16.23344465,,,,0,-28.58427325,,,,,,,,,,,,,,,,0,3.535249746,,,,,,12.58925412,-75.55954881,,,,,,,0.9388745955,Oral; Topical; Vaginal,"15.1 ± 16.2 mcg/mL (oral)
10.71 ng/mL (vaginal) ",,7.14 L/kg,9.48 mL/min/kg,19.75 hours,25 %,NA,Hypersensitivity; milk protein allergy,Category A,Use with caution,NA,,
TIOPRONIN,Antidote (mercury),NA,,"chelating agent, reducing agent",,,,,CC(S)C(=O)NCC(=O)O,163.198,-0.4945,3,3,3,66.4,1,,,,,0.15,,,,,0.1099,24.6,,,,,,,0,-71.84311816,0,0,Inactive,0,-20.40846769,0,0,Inactive,Inactive,0,0.9856225813,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,1.195151158,,,,,,0,-14.09262405,,,,,,,0.4699543109,Oral,,Tiopronin undergoes extensive protein binding in plasma. It is thought that this occurs through the formation of a disulphide bridge to the free thiol group of albumin.,1.39 L/kg,1.48 mL/min/kg,55 hours,63 %,None,Hypersensitivity,NA,Not recommended,NA,,
MIANSERIN HYDROCHLORIDE,Antidepressant,Neuroactive ligand-receptor interaction,"ADRA1A, ADRA1B, ADRA1D, HRH1, HRH2, HTR2A, HTR2B, HTR2C, HTR6, HTR7",serotonin receptor antagonist,,,8.12,pKi,CN1CCN2C(C1)c1ccccc1Cc1ccccc21,300.833,3.5057,2,0,0,6.48,1,,,,,,,,,,0.2217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1925777332,Oral,,90%,13.75 L/kg,21.90 mL/min/kg,9.60 hours,22 %,NA,NA,Category B2,Not recommended,NA,,
BETAHISTINE HYDROCHLORIDE,"Antivertigo, Vasodilator","Calcium signaling pathway, Neuroactive ligand-receptor interaction","HRH1, HRH3","histamine receptor agonist, histamine receptor antagonist",,,,,CNCCc1ccccn1,209.12,1.6871,2,1,3,24.92,0,,,,,,,,,,0.1802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.297893681,Oral,,<5%,"In a pharmacokinetic study of rats, betahistine was found to be distributed throughout the body.[L16443] Human data for betahistine's volume of distribution is not readily available.[A220438,A220563,L16388,L16443]",,"The half-life of betahistine is 3-4 hours.[A220438,A220563,L16388]",,NA,NA,Category B3,Not recommended,NA,,
BIFONAZOLE,Antifungal,Steroid biosynthesis,,sterol demethylase inhibitor,,,,,c1ccc(cc1)c1ccc(cc1)C(c1ccccc1)n1ccnc1,310.4,5.1878,2,0,4,17.82,1,70.75,,,,-0.11,,,,-0.0446,,-1.13,,,,,,,31.6227766,-23.28488786,31.6228,80.4844,Inconclusive,39.81071706,-10.76359729,39.8107,38.2072,Inconclusive,Cytotoxic,39.81071706,-31.39313483,39.8107,107.675,Inconclusive,0,-10.01068622,0,0,Inactive,Inactive,0,8.893974694,,,,10,36.432,12.58925412,-76.81131184,,,,,14.125375,24.488,0.5805087831,Oral; Topical,,,,,1-2 hours,,NA,NA,Category B3,NA,None,,
ENOXACIN,Antibacterial,DNA synthesis/replication,TOP2A,topoisomerase inhibitor,,,,,CCn1cc(C(=O)O)c(=O)c2cc(F)c(nc12)N1CCNCC1,320.324,0.6633,6,2,3,87.46,0,-14.27,,,,-0.12,,,,1.182,,7.669,,,,,,,0,-42.60789196,0,0,Inactive,0,-11.77321733,0,0,Inactive,Inactive,0,-97.27821453,0,0,Inactive,0,2.67367584,0,0,Inactive,Inactive,0,-0.3580024603,,,,,,0,-32.15012181,,,,,,,0.6023847024,Oral,,,2 L/kg,5.40 mL/min/kg,5.10 hours,87 %,NA,NA,Category B3,Not recommended,NA,,
Rilpivirine,Anti-HIV,NA,"NR1I2, SCN10A",non-nucleoside reverse transcriptase inhibitor,,,,,Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,366.428,4.9891,6,2,5,97.42,0,82.1,,,,1.73,,,,,0.1167,-36.34,,,,,,,22.38721139,-49.40789163,22.3872,115.464,Active,28.18382931,-35.58664217,35.4813,42.7423,Inconclusive,Cytotoxic,39.81071706,-70.035117,39.8107,106.141,Inconclusive,15.84893192,-44.46915358,15.8489,42.0715,Inconclusive,Cytotoxic,0,-1.512509932,,,,,,8.912509381,-80.52372913,,,,,,,0.2394370022,Oral; Parenteral,"247 ng/mL (healthy subjects)
138.6 ng/mL (HIV patients)","Rilpivirine is highly protein-bound thus, >99% of its dose can be bound to plasma protein in a concentration-dependent manner.[A31331] The most important plasma binding proteins is albumin.[FDA label]","In VIH-1 patients, the apparent volume of distribution in the central compartment was determined to be 152-173 L.[L1032]","In HIV-1 patients, the apparent oral clearance is estimated to be 10.5-11.8 L/h.[L1032]","Plasma drug elimination is really slow, giving rilpivirine a half-life of 34-55 hours after oral administration.[A31331]",,Carbamazepine; dexamethasone; dexlansoprazole; efavirenz;elvitegravir/cobicistat/emtricitabine/tenofovir DF; eslicarbazepine acetate; esomeprazole; etravirine; fosphenytoin; lansoprazole; nevirapine; omeprazole; oxcarbazepine; pantoprazole; phenobarbital; phenytoin; rabeprazole; rifampin; rifapentine; St John's Wort,Hypersensitivity,Category B1,Not recommended,NA,,
